06/04/2022 11:54:00.300 - oc_logger - INFO - The optimization direction is minimization
06/04/2022 11:54:00.303 - oc_logger - INFO - QuOCS version number: 0.0.22
06/04/2022 11:54:00.303 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:19.889 - oc_logger - INFO - Function evaluation number: 156, SI: 4, Sub-iteration number: 12, FoM: 0.29711477215348703
06/04/2022 11:54:20.000 - oc_logger - INFO - Function evaluation number: 157, SI: 4, Sub-iteration number: 13, FoM: 0.29711484074781636
06/04/2022 11:54:20.114 - oc_logger - INFO - Function evaluation number: 158, SI: 4, Sub-iteration number: 13, FoM: 0.2971147703368535
06/04/2022 11:54:20.234 - oc_logger - INFO - Function evaluation number: 159, SI: 4, Sub-iteration number: 14, FoM: 0.29711479347007497
06/04/2022 11:54:20.363 - oc_logger - INFO - Function evaluation number: 160, SI: 4, Sub-iteration number: 14, FoM: 0.2971147681602234
06/04/2022 11:54:20.363 - oc_logger - INFO - SI 4 finished - Number of evaluations: 36, Best FoM: 0.29711475206408955, Terminate reason: Convergence of the FoM.

06/04/2022 11:54:20.364 - oc_logger - INFO - Direct search start time has been reset.
06/04/2022 11:54:20.487 - oc_logger - INFO - Function evaluation number: 161, SI: 5, Sub-iteration number: 0, FoM: 0.29711475206408955
06/04/2022 11:54:20.609 - oc_logger - INFO - Function evaluation number: 162, SI: 5, Sub-iteration number: 0, FoM: 0.29711480679123614
06/04/2022 11:54:20.736 - oc_logger - INFO - Function evaluation number: 163, SI: 5, Sub-iteration number: 0, FoM: 0.29711480573525106
06/04/2022 11:54:20.862 - oc_logger - INFO - Function evaluation number: 164, SI: 5, Sub-iteration number: 0, FoM: 0.29711536096587565
06/04/2022 11:54:20.985 - oc_logger - INFO - Function evaluation number: 165, SI: 5, Sub-iteration number: 0, FoM: 0.29711482485055396
06/04/2022 11:54:21.105 - oc_logger - INFO - Function evaluation number: 166, SI: 5, Sub-iteration number: 0, FoM: 0.29711484714282344
06/04/2022 11:54:21.223 - oc_logger - INFO - Function evaluation number: 167, SI: 5, Sub-iteration number: 0, FoM: 0.2971149138430421
06/04/2022 11:54:21.348 - oc_logger - INFO - Function evaluation number: 168, SI: 5, Sub-iteration number: 0, FoM: 0.29711479973455446
06/04/2022 11:54:21.471 - oc_logger - INFO - Function evaluation number: 169, SI: 5, Sub-iteration number: 0, FoM: 0.2971147684804081
06/04/2022 11:54:21.602 - oc_logger - INFO - Function evaluation number: 170, SI: 5, Sub-iteration number: 1, FoM: 0.2971154390795214
06/04/2022 11:54:21.728 - oc_logger - INFO - Function evaluation number: 171, SI: 5, Sub-iteration number: 1, FoM: 0.2971150411826622
06/04/2022 11:54:21.849 - oc_logger - INFO - Function evaluation number: 172, SI: 5, Sub-iteration number: 2, FoM: 0.2971150948861295
06/04/2022 11:54:21.979 - oc_logger - INFO - Function evaluation number: 173, SI: 5, Sub-iteration number: 2, FoM: 0.2971148926569157
